List of Publicly Traded Companies Headquartered in Washington,SYM,Sector
"Achieve Life Sciences, Inc. ",,BioTech & Pharma
Adaptive Biotechnologies Corporation,,BioTech & Pharma
"Alaska Air Group, Inc. (ALK) ",ALK,Airlines
"Alder BioPharmaceuticals, Inc. (ALDR)",ALDR,BioTech & Pharma
"Alpine Immune Sciences, Inc.",,BioTech & Pharma
"Amazon.com, Inc. (AMZN)",AMZN,Retail and Ecommerce
Anchor Bancorp (ANCB),ANCB,Banks
Aptevo Therapeutics Inc. (APVO),APVO,BioTech & Pharma
"Atossa Genetics, Inc. (ATOS)",ATOS,Media Devices
Avalara Inc,,Taxes
Avista Corporation (AVA),AVA,Utilities: Diversified
Banner Corporation (BANR) ,BANR,Banks
"Barrett Business Services, Inc. (BBSI)",BBSI,Business Services
"BioLife Solutions, Inc. (BLFS)",BLFS,Media Devices
"Blucora, Inc. (BCOR)",BCOR,Internet
BSQUARE Corporation (BSQR),BSQR,Software
ClearSign Combustion Corporation (CLIR),CLIR,Pollution Control
Clearwater Paper Corporation (CLW),CLW,Paper & Paper Products
"Columbia Banking System, Inc.",,Banks
Costco Wholesale Corporation (COST),COST,Retail and Ecommerce
Cray Inc. (CRAY),CRAY,Computer Science
CTI BioPharma Corp. (CTIC),CTIC,BioTech & Pharma
Data I/O Corporation (DAIO),DAIO,Manufacturing Equipment & Services
eMagin Corporation (EMAN),EMAN,Display Products
"eXp World Holdings, Inc.",,Real Estate Services
"Expedia, Inc. (EXPE)",EXPE,Travel
"Expeditors International of Washington, Inc. (EXPD)",EXPD,Freight & Logistics
"F5 Networks, Inc. (FFIV)",FFIV,Networking Equipment
"First Financial Northwest, Inc. (FFNW) ",FFNW,Banks
First Northwest Bancorp (FNWB) ,FNWB,Banks
Fortive Corporation (FTV),FTV,Scientific & Technical Instruments
"FS Bancorp, Inc. (FSBW) ",FSBW,Banks
"Funko, Inc. (FNKO)",FNKO,Consumer
Heritage Financial Corporation (HFWA),HFWA,Banks
"HomeStreet, Inc. (HMST) ",HMST,Banks
"Impinj, Inc. (PI)",PI,Radio-Frequency Identification
"IsoRay, Inc. (ISR)",ISR,Media Devices
"Itron, Inc. (ITRI)",ITRI,Water Technology & Infrastructure
Key Tronic Corporation (KTCC) ,KTCC,Manufacturing Equipment & Services
"Marchex, Inc. (MCHX)",MCHX,Business Services
Mercer International Inc. (MERC),MERC,Paper & Paper Products
Microsoft Corporation (MSFT),MSFT,Software
"Microvision, Inc. (MVIS)",MVIS,Display Products
Mr. Cooper Group Inc.,,Insurance
"NanoString Technologies, Inc. (NSTG)",NSTG,Media Devices
Nautilus Inc. (The) (NLS),NLS,Fitness
"nLIGHT, Inc. (LASR)",LASR,Semiconductor Lasers
"Nordstrom, Inc. (JWN)",JWN,Clothing
Northwest Pipe Company (NWPX),NWPX,Pipes
Omeros Corporation (OMER),OMER,BioTech & Pharma
PACCAR Inc. (PCAR),PCAR,Motor Vehicles
Pendrell Corporation (PCO),PCO,Intellectual Property
Pope Resources (POPE),POPE,Timber
Potlatch Corporation (PCH),PCH,Timber
Puget Sound Energy,Energy,Utilities: Diversified
"Radiant Logistics, Inc. (RLGT)",RLGT,Freight & Logistics
RealNetworks Inc. (RNWK),RNWK,Software
Red Lion Hotels Corporation (RLH),RLH,Hotels
Redfin Corporation (RDFN) ,RDFN,Brokerage
Riverview Bancorp Inc. (RVSB),RVSB,Banks
"Seattle Genetics, Inc. (SGEN)",SGEN,BioTech & Pharma
Smartsheet Inc. (SMAR),SMAR,Software
"Sound Financial Bancorp, Inc. (SFBC)",SFBC,Banks
Starbucks Corporation (SBUX),SBUX,Coffee
"Tableau Software, Inc. (DATA)",DATA,Software
"Timberland Bancorp, Inc. (TSBK)",TSBK,Banks
T-Mobile,Mobile,Wireless Services
TrueBlue Inc.,,Staffing
"Trupanion, Inc. (TRUP)",TRUP,Insurance
"Washington Federal, Inc. (WAFD)",WAFD,Banks
Weyerhaeuser Company (WY),WY,Timber
"Zillow Group, Inc. (Z)",Z,Real Estate Services
Zumiez Inc. (ZUMZ)  ,ZUMZ,Clothing
