Company Name,SYM,Sector
Alder BioPharmaceuticals Inc.,ALDR,BioTech & Pharma
Alaska Air Group Inc.,ALK,Airlines
Amazon com Inc.,AMZN,Retail and Ecommerce
Anchor Bancorp,ANCB,Banks
Aptevo Therapeutics Inc.,APVO,BioTech & Pharma
Atossa Genetics Inc.,ATOS,Media Devices
Avista Corporation,AVA,Utilities: Diversified
Banner Corporation,BANR,Banks
Barrett Business Services Inc.,BBSI,Business Services
Blucora Inc.,BCOR,Internet
BioLife Solutions Inc.,BLFS,Media Devices
BSQUARE Corporation,BSQR,Software
ClearSign Combustion Corporation,CLIR,Pollution Control
Clearwater Paper Corporation,CLW,Paper & Paper Products
Costco Wholesale Corporation,COST,Retail and Ecommerce
Cray Inc.,CRAY,Computer Science
CTI BioPharma Corp.,CTIC,BioTech & Pharma
Data I O Corporation,DAIO,Manufacturing Equipment & Services
Tableau Software Inc.,DATA,Software
eMagin Corporation,EMAN,Display Products
Puget Sound,nan,Utilities: Diversified
Expeditors International of Washington Inc.,EXPD,Freight & Logistics
Expedia Inc.,EXPE,Travel
F Networks Inc.,FFIV,Networking Equipment
First Financial Northwest Inc.,FFNW,Banks
Funko Inc.,FNKO,Consumer
First Northwest Bancorp,FNWB,Banks
FS Bancorp Inc.,FSBW,Banks
Fortive Corporation,FTV,Scientific & Technical Instruments
Heritage Financial Corporation,HFWA,Banks
HomeStreet Inc.,HMST,Banks
IsoRay Inc.,ISR,Media Devices
Itron Inc.,ITRI,Water Technology & Infrastructure
Nordstrom Inc.,JWN,Clothing
Key Tronic Corporation,KTCC,Manufacturing Equipment & Services
nLIGHT Inc.,LASR,Semiconductor Lasers
Marchex Inc.,MCHX,Business Services
Mercer International Inc.,MERC,Paper & Paper Products
TMobile,nan, Wireless Services
Microsoft Corporation,MSFT,Software
Microvision Inc.,MVIS,Display Products
Nautilus Inc The),NLS,Fitness
NanoString Technologies Inc.,NSTG,Media Devices
Northwest Pipe Company,NWPX,Pipes
Omeros Corporation,OMER,BioTech & Pharma
PACCAR Inc.,PCAR,Motor Vehicles
Potlatch Corporation,PCH,Timber
Pendrell Corporation,nan,Intellectual Property
Impinj Inc.,PI,Radio-Frequency Identification
Pope Resources,POPE,Timber
Redfin Corporation,RDFN,Brokerage
Radiant Logistics Inc.,RLGT,Freight & Logistics
Red Lion Hotels Corporation,RLH,Hotels
RealNetworks Inc.,RNWK,Software
Riverview Bancorp Inc.,RVSB,Banks
Starbucks Corporation,SBUX,Coffee
Sound Financial Bancorp Inc.,SFBC,Banks
Seattle Genetics Inc.,SGEN,BioTech & Pharma
Smartsheet Inc.,SMAR,Software
Trupanion Inc.,TRUP,Insurance
Timberland Bancorp Inc.,TSBK,Banks
Washington Federal Inc.,WAFD,Banks
Weyerhaeuser Company,WY,Timber
Zillow Group Inc.,Z,Real Estate Services
Zumiez Inc.,ZUMZ,Clothing
Achieve Life Inc.,ACHV,BioTech & Pharma
Adaptive Biotechnologies Corpo,ADPT,BioTech & Pharma
Alpine Immune Inc.,ALPN,BioTech & Pharma
Aval,AVLR,Taxes
Columbia Banking Inc.,COLB,Banks
eXp World Inc.,EXPI,Real Estate Services
Mr Cooper Group Inc.,COOP,Insurance
Blue Inc.,TBI,Staffing
