,Ticker,Date,Filing Date,Calendar Year,Period,Cash & Cash Equivalents,Net Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant & Equip Net",Goodwill & Intangible Assets,Long Term Investments,Tax Assets,Other NonCurrent Assets,Total NonCurrent Assets,Other Assets,Total Asstes,Acct Payables,Short-term Debt,Tax Payables,Deferred Revenue,Total Liabilities,Retained Earnings,Accumulated Other Comprehensive Income Loss,Total Equity,Total Investments,Total Debt,Net Debt
0,ALDR,2019-06-30,2019-08-06,2019,Q2,88378000,0,0,42361000,451672000,6403000,0,0,0,4492000,10895000,0,462567000,7722000,981000,0,0,462567000,-1140283000,-49000,110305000,320933000,5042000,-83336000
1,ALK,2022-09-30,2022-11-03,2022,Q3,688000000,345000000,94000000,221000000,3810000000,8259000000,2040000000,0,0,422000000,10721000000,0,14531000000,202000000,584000000,0,2535000000,14531000000,4278000000,-328000000,3826000000,0,3955000000,3267000000
2,AMZN,2022-12-31,2023-02-03,2022,Q4,53888000000,42360000000,34405000000,0,146791000000,186715000000,20288000000,0,0,108881000000,315884000000,0,462675000000,79600000000,0,0,13227000000,462675000000,83193000000,-4487000000,146043000000,0,140118000000,86230000000
3,ANCB,2018-09-30,2018-09-30,2019,Q1,50546000,1424000,0,0,0,8515000,0,20104000,0,0,0,478880000,478880000,3826000,0,0,0,478880000,48063000,-1232000,68676000,0,37000000,-13546000
4,APVO,2022-09-30,2022-11-10,2022,Q3,22150000,0,0,2468000,24618000,7077000,0,0,0,0,7077000,0,31695000,3243000,2000000,0,0,31695000,-201394000,0,15762000,0,10147000,-12003000
5,ATOS,2022-09-30,2022-11-07,2022,Q3,117367000,610000,0,5418000,123395000,0,0,2700000,0,629000,3329000,0,126724000,1653000,0,0,0,126724000,-148703000,-54000,123856000,0,0,-117367000
6,AVA,2022-09-30,2022-11-01,2022,Q3,14363000,188548000,123447000,137246000,463604000,5513942000,52426000,124937000,0,900890000,6592195000,0,7055799000,112646000,281500000,40579000,0,7055799000,766624000,-10218000,2234849000,0,2724855000,2710492000
7,BANR,2022-09-30,2022-11-03,2022,Q3,821921000,50689000,0,0,0,193188000,383776000,4157408000,0,0,0,16360809000,16360809000,0,0,0,0,16360809000,486108000,-369190000,1408659000,7153581000,230721000,-591200000
8,BBSI,2022-09-30,2022-11-03,2022,Q3,58951000,194537000,0,134109000,460782000,64140000,47820000,0,10497000,113751000,236208000,0,696990000,4553000,6908000,2572000,0,696990000,170745000,-30803000,171363000,0,22313000,-36638000
9,BCOR,2022-09-30,2022-11-01,2022,Q3,91104000,51839000,0,14000000,156943000,94839000,743431000,0,0,30376000,868646000,0,1025589000,3804000,5112000,2785000,5908000,1025589000,-1197585000,0,371590000,0,557382000,466278000
10,BLFS,2022-09-30,2022-11-09,2022,Q3,27036000,32436000,33747000,-65662000,62140000,37879000,298754000,490000,0,14682000,351805000,73734000,487679000,13140000,42482000,0,0,487679000,-194597000,-1257000,408249000,35073000,81329000,54293000
